radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
UMTS,736,3,17800,5280907,0,-66.167594,-17.399394,2754,247,1,1375278152,1448118326,0
UMTS,736,3,17800,5270929,0,-66.185524,-17.399874,2953,87,1,1375278163,1493808111,0
UMTS,736,1,1200,13193631,0,-66.16584777832,-17.404403686523,1000,17,1,1380103608,1380103608,0
UMTS,736,1,1200,13193302,0,-66.16584777832,-17.404403686523,1000,1,1,1380105992,1380105992,0
UMTS,736,1,1200,13192842,0,-66.165848,-17.398911,1000,2,1,1380117796,1380117796,0
UMTS,736,1,1200,13193901,0,-66.165848,-17.398911,1000,2,1,1380118402,1380118402,0
UMTS,736,1,1200,131944105,0,-66.184216,-17.402172,1000,8,1,1363373250,1367870031,0
GSM,736,1,202,20133,0,-66.183112,-17.402049,1000,7,1,1365211711,1474895008,0
UMTS,736,1,1200,13193633,0,-66.174088,-17.405434,1000,4,1,1367754184,1367754184,0
UMTS,736,1,1200,131944865,0,-66.174087524414,-17.405776977539,1000,1,1,1367754244,1367754244,0
UMTS,736,3,17800,5280918,0,-66.166464,-17.397373,1000,18,1,1371750447,1506521272,0
UMTS,736,2,43400,5276748,0,-66.185073852539,-17.401657104492,1000,1,1,1372529616,1372529616,0
UMTS,736,2,43400,5276217,0,-66.16584777832,-17.397537231445,1000,3,1,1374364213,1374364213,0
UMTS,736,3,17800,5270920,0,-66.166307,-17.401247,2008,13,1,1380315342,1506524587,0
UMTS,736,3,17800,5260918,0,-66.164856,-17.397316,1000,15,1,1380315400,1493745260,0
GSM,736,3,17460,24096,0,-66.18543,-17.398813,1000,6,1,1384376376,1494711827,0
GSM,736,3,17460,24049,0,-66.183151,-17.397812,1000,5,1,1384358299,1384358299,0
UMTS,736,3,17800,2972905,0,-66.168593,-17.402573,3262,3,1,1385195843,1385195843,0
GSM,736,3,17800,28001,0,-66.175657,-17.406169,1000,7,1,1386921594,1386921594,0
GSM,736,3,17800,38243,0,-66.176834106445,-17.405776977539,1000,1,1,1386503310,1386503310,0
UMTS,736,3,17800,5261123,0,-66.168594360352,-17.400283813477,1000,1,1,1393092905,1393092905,0
UMTS,736,3,17800,5271123,0,-66.168715,-17.403215,1000,8,1,1393173935,1494628418,0
UMTS,736,3,17800,5280964,0,-66.169693,-17.405502,1000,5,1,1393173935,1486884345,0
GSM,736,3,17461,34141,0,-66.183700561523,-17.404403686523,1000,2,1,1397423778,1397423778,0
GSM,736,3,17461,34001,0,-66.183303,-17.404256,1118,7,1,1397443605,1505881079,0
UMTS,736,3,17800,5280881,0,-66.177978,-17.400742,2696,6,1,1397443736,1474950035,0
GSM,736,1,1210,20697,0,-66.168594,-17.400783,1000,11,1,1413539132,1413539132,0
GSM,736,1,1210,20897,0,-66.168594,-17.401853,1000,7,1,1413539132,1413539132,0
GSM,736,3,17460,14049,0,-66.180704,-17.401098,3985,6,1,1427236888,1494129234,0
UMTS,736,2,43401,13796428,0,-66.185961,-17.401928,1000,27,1,1440096074,1505592844,0
UMTS,736,2,43401,13796421,0,-66.18516,-17.401571,1000,16,1,1440098685,1444762721,0
UMTS,736,2,43401,13796427,0,-66.185226,-17.401505,1000,9,1,1441095889,1445747729,0
UMTS,736,2,43401,13796422,0,-66.186128,-17.401805,1000,24,1,1441096156,1506190409,0
UMTS,736,3,17800,5260929,0,-66.185289,-17.39758,1983,48,1,1442254431,1494856165,0
UMTS,736,2,43401,13796424,0,-66.185074,-17.401657,1000,3,1,1444762901,1444762901,0
LTE,736,3,27460,20492545,0,-66.182106,-17.397658,1000,2,1,1446087431,1493817031,0
LTE,736,3,27461,20489730,0,-66.164474487305,-17.401657104492,1000,5,1,1458598172,1491600937,0
UMTS,736,2,43401,13795653,0,-66.174088,-17.404822,1000,23,1,1458633377,1491583691,0
UMTS,736,2,43401,13795956,0,-66.16584777832,-17.397537231445,1000,2,1,1458633378,1476637410,0
UMTS,736,2,43401,13796728,0,-66.172028,-17.40097,1000,2,1,1458633380,1486842481,0
UMTS,736,2,43401,13795672,0,-66.181992,-17.398607,1000,2,1,1458633377,1494108050,0
UMTS,736,2,43401,13795658,0,-66.165161,-17.405777,1000,2,1,1458633377,1461445823,0
UMTS,736,2,43401,13795849,0,-66.180038,-17.405777,1000,3,1,1458633378,1491458994,0
UMTS,736,2,43401,13796722,0,-66.17546081543,-17.400283813477,1000,1,1,1452504525,1452504525,0
UMTS,736,2,43401,13795899,0,-66.169183,-17.397537,1000,7,1,1458633378,1491546701,0
UMTS,736,2,43401,13795843,0,-66.184616,-17.402115,1000,3,1,1458633378,1491458999,0
UMTS,736,2,43401,13796723,0,-66.178207397461,-17.401657104492,1000,5,1,1458633379,1470947314,0
UMTS,736,2,43401,13795893,0,-66.169582,-17.400614,1247,8,1,1458633378,1494627453,0
UMTS,736,2,43401,13795897,0,-66.16584777832,-17.398910522461,1000,1,1,1444212622,1444212622,0
UMTS,736,2,43401,13795659,0,-66.174845,-17.402825,2964,33,1,1458633377,1493861193,0
UMTS,736,2,43401,13795651,0,-66.171341,-17.403717,1000,2,1,1458633377,1466423662,0
UMTS,736,2,43401,13795846,0,-66.178894,-17.404404,1000,2,1,1458633378,1467782815,0
UMTS,736,2,43401,13795891,0,-66.16584777832,-17.398910522461,1000,2,1,1458633378,1459183026,0
UMTS,736,2,43401,13796729,0,-66.178207397461,-17.401657104492,1000,7,1,1458633380,1476202740,0
UMTS,736,3,17800,5270881,0,-66.178207397461,-17.405776977539,1000,1,1,1454404942,1454404942,0
UMTS,736,3,17800,5280920,0,-66.168233,-17.401991,1813,3,1,1458633414,1494688616,0
UMTS,736,3,17800,5286881,0,-66.172808,-17.403794,1000,3,1,1458633415,1494681704,0
UMTS,736,3,17800,5260881,0,-66.168594360352,-17.403030395508,1000,1,1,1439300282,1439300282,0
UMTS,736,3,17800,5270918,0,-66.16581,-17.398908,1000,7,1,1458633413,1505884395,0
UMTS,736,3,17800,5271021,0,-66.179142,-17.40535,1000,2,1,1458633414,1494114426,0
UMTS,736,3,17800,5281123,0,-66.172714233398,-17.403030395508,1000,1,1,1428305300,1428305300,0
UMTS,736,3,17800,5306964,0,-66.165601,-17.398419,1800,3,1,1458633416,1493636717,0
UMTS,736,3,17800,5271070,0,-66.165314,-17.401836,4606,90,1,1458633414,1505664175,0
UMTS,736,3,17800,5271083,0,-66.172049,-17.397879,1000,4,1,1458633414,1494714879,0
UMTS,736,3,17800,5281108,0,-66.165348,-17.405706,1086,4,1,1458633415,1506466121,0
UMTS,736,3,17800,5296881,0,-66.17997,-17.402393,1000,4,1,1458633415,1494681844,0
UMTS,736,1,1210,13258407,0,-66.176255,-17.398006,1000,10,1,1458815118,1505614785,0
UMTS,736,1,1210,13263407,0,-66.185866,-17.39985,4130,30,1,1458815119,1493909442,0
UMTS,736,1,1210,13263833,0,-66.166225,-17.397856,1000,2,1,1458815119,1505855870,0
UMTS,736,1,1210,13263979,0,-66.176834106445,-17.403030395508,1000,1,1,1446894603,1446894603,0
UMTS,736,1,1210,13264273,0,-66.169967651367,-17.403030395508,1000,1,1,1440510158,1440510158,0
UMTS,736,1,1210,20563,0,-66.172714233398,-17.398910522461,1000,1,1,1444544110,1444544110,0
UMTS,736,1,1210,13263965,0,-66.166534,-17.397537,1000,2,1,1458815119,1459106762,0
UMTS,736,1,1210,13263403,0,-66.173421,-17.398569,2803,14,1,1458815119,1505612255,0
UMTS,736,1,1210,13263409,0,-66.182327270508,-17.401657104492,1000,1,1,1453224723,1453224723,0
UMTS,736,1,1210,20453,0,-66.164474487305,-17.398910522461,1000,1,1,1447140938,1447140938,0
UMTS,736,1,1210,13263405,0,-66.183700561523,-17.401657104492,1000,1,1,1428769001,1428769001,0
UMTS,736,1,1210,13264169,0,-66.167221069336,-17.405776977539,1000,1,1,1458265792,1458265792,0
UMTS,736,1,1210,13264163,0,-66.167221069336,-17.401657104492,1000,1,1,1444191569,1444191569,0
GSM,736,1,201,20692,0,-66.167564,-17.40097,1000,4,1,1458931305,1472016166,0
GSM,736,1,201,20891,0,-66.16908,-17.405328,1000,3,1,1458931305,1493938104,0
GSM,736,2,40401,30091,0,-66.16584777832,-17.398910522461,1000,1,1,1453723771,1453723771,0
GSM,736,2,40401,30262,0,-66.16584777832,-17.397537231445,1000,1,1,1453723771,1453723771,0
GSM,736,2,40401,30093,0,-66.172714233398,-17.401657104492,1000,1,1,1453723771,1453723771,0
GSM,736,2,40401,31163,0,-66.180953979492,-17.403030395508,1000,1,1,1453322163,1453322163,0
GSM,736,2,40401,30982,0,-66.16584777832,-17.398910522461,1000,1,1,1453723771,1453723771,0
GSM,736,3,17461,14038,0,-66.168594360352,-17.397537231445,1000,1,1,1417953068,1417953068,0
GSM,736,3,17461,24001,0,-66.180953979492,-17.403030395508,1000,1,1,1437322845,1437322845,0
UMTS,736,2,43401,13796287,0,-66.180844,-17.40327,1000,5,1,1461292910,1505590502,0
LTE,736,2,44401,10241285,0,-66.165741,-17.399746,1000,6,1,1470447501,1494165153,0
UMTS,736,2,43401,13795656,0,-66.174088,-17.404175,1000,18,1,1470967758,1491583697,0
UMTS,736,2,43401,13787080,0,-66.173571,-17.402771,1664,11,1,1471456505,1494627515,0
UMTS,736,2,43401,13795896,0,-66.174774,-17.404404,1000,6,1,1472267290,1485889647,0
UMTS,736,2,43401,13788460,0,-66.172989,-17.40303,1000,5,1,1472873351,1491546711,0
UMTS,736,2,43401,13788400,0,-66.178207,-17.40097,1000,2,1,1472873351,1481691716,0
UMTS,736,3,17800,5281881,0,-66.180953979492,-17.400283813477,1000,1,1,1474950035,1474950035,0
UMTS,736,3,17800,5296939,0,-66.17564,-17.399381,7793,5,1,1476923319,1505492734,0
LTE,736,1,21000,3083521,0,-66.165365,-17.397401,4535,9,1,1482619625,1584293212,0
UMTS,736,2,43401,13795655,0,-66.171158,-17.406055,1000,3,1,1486280051,1506284668,0
LTE,736,2,44401,10267909,0,-66.166534,-17.403717,1000,2,1,1488611133,1489065822,0
GSM,736,2,40401,31473,0,-66.16584777832,-17.404403686523,1000,1,1,1489065817,1489065817,0
LTE,736,2,44401,10267908,0,-66.166954,-17.398375,1000,2,1,1489065822,1554462303,0
LTE,736,2,44401,10267910,0,-66.167221069336,-17.398910522461,1000,1,1,1489065822,1489065822,0
LTE,736,2,44401,10240771,0,-66.178018,-17.398306,4478,6,1,1490768248,1505593995,0
LTE,736,2,44401,10242309,0,-66.186863,-17.402327,1101,19,1,1505842018,1506197316,0
UMTS,736,2,43401,13796283,0,-66.185814,-17.403214,1000,1,1,1505849688,1505849688,0
UMTS,736,1,1210,13258403,0,-66.173102,-17.397406,2754,14,1,1494634415,1494634415,0
UMTS,736,3,17800,5281070,0,-66.165287,-17.405256,1000,9,1,1505682395,1505682395,0
UMTS,736,1,1210,13258404,0,-66.169354,-17.406074,3595,18,1,1492540200,1494776157,0
UMTS,736,3,17800,5286964,0,-66.169601,-17.40432,1000,1,1,1493632457,1493632457,0
LTE,736,2,44401,10263300,0,-66.181582,-17.400604,1000,6,1,1494107996,1554484404,0
LTE,736,1,21000,3121667,0,-66.169891,-17.397769,1000,2,1,1505933255,1505933255,0
LTE,736,1,21000,3078914,0,-66.173668,-17.404036,1000,1,1,1506260304,1506260304,0
LTE,736,2,44401,10267142,0,-66.183243,-17.399061,4638,7,1,1506193175,1559970276,0
LTE,736,1,21000,3128833,0,-66.181609,-17.400642,2071,9,1,1505092118,1505093057,0
LTE,736,3,47461,20480262,-1,-66.180781,-17.398638,7561,144,1,1546600504,1564765677,0
LTE,736,3,47460,20495108,-1,-66.168071,-17.398092,1666,38,1,1547204638,1561115074,0
UMTS,736,3,37800,7228009,12,-66.17322,-17.401527,1980,33,1,1547205017,1563554697,0
UMTS,736,3,37800,7273100,227,-66.164183,-17.399637,2094,14,1,1547205683,1557390618,0
UMTS,736,3,37800,7247063,214,-66.172693,-17.402246,5093,6,1,1547235656,1557579785,0
LTE,736,3,47461,20480261,-1,-66.173482,-17.402786,3793,36,1,1547313022,1561140230,0
LTE,736,3,47451,20538374,-1,-66.165608,-17.404514,2424,12,1,1547313067,1558361719,0
UMTS,736,3,37800,7238122,133,-66.172675,-17.401491,5231,12,1,1547470732,1561726060,0
UMTS,736,3,37800,7226961,375,-66.175216,-17.398107,2540,10,1,1547538307,1559652590,0
LTE,736,3,47461,20480260,-1,-66.174677,-17.402091,1000,48,1,1547815492,1564763778,0
UMTS,736,3,37800,7246961,133,-66.183236,-17.398115,4633,17,1,1547900690,1561726060,0
UMTS,736,3,37800,7228013,12,-66.180013,-17.401221,1036,9,1,1548363368,1561725769,0
GSM,736,3,27461,24203,-1,-66.172173,-17.400385,1000,1,1,1550228351,1550228351,0
GSM,736,3,27461,14243,-1,-66.172173,-17.400385,1000,1,1,1550228351,1550228351,0
GSM,736,3,27461,14203,-1,-66.172173,-17.400385,1000,1,1,1550228351,1550228351,0
GSM,736,3,27461,14001,-1,-66.172173,-17.400385,1000,1,1,1550228351,1550228351,0
UMTS,736,3,37800,7247203,462,-66.173249,-17.400919,1000,2,1,1550228378,1564759883,0
LTE,736,2,44401,10249989,-1,-66.180923,-17.399752,1000,1,1,1554462715,1554462715,0
LTE,736,2,44401,10268933,-1,-66.174128,-17.399136,1266,13,1,1555079241,1555085034,0
LTE,736,2,44401,10255365,0,-66.165497,-17.406137,1000,1,1,1560519203,1560519203,0
LTE,736,3,47460,20504581,-1,-66.182295,-17.398793,1000,9,1,1561114965,1564765820,0
LTE,736,3,47461,20516100,-1,-66.177895,-17.405675,1000,2,1,1561802657,1561802751,0
UMTS,736,3,37800,7237163,382,-66.173752,-17.400511,1000,1,1,1564759873,1564759873,0
